;;;;;
CIV Студенческая международная научно-практическая конференция «Научное сообщество студентов XXI столетия. Экономические науки»;Россия;02.08.21 — 02.08.21;02.08.2021;Экономические;stud.economic@sibac.info
;;;;;
XLVII Международная научно-практическая конференция «История, политология, социология, философия: теоретические и практические аспекты»;Россия;02.08.21 — 02.08.21;02.08.2021;Исторические и археология;politkonf@sibac.info
;;;;;
Международная научно-практическая конференция «Вавиловские чтения-2021»;Россия;24.11.21 — 25.11.21;02.08.2021;Биологические;ryaznikval@mail.ru
;;;;;
Международная научная конференция «Морская биология в 21 веке: достижения и перспективы развития»;Россия;06.10.21 — 08.10.21;02.08.2021;Биологические;nscmb-conference@mail.ru
;;;;;
Всероссийский конгресс с международным участием «Дни ревматологии в Санкт-Петербурге – 2021» ;Россия;14.10.21 — 16.10.21;02.08.2021;Медицинские;abstract@congress-ph.ru
;;;;;
L международная заочная научно-практическая конференция «Теоретические аспекты юриспруденции и вопросы правоприменения»;Россия;03.08.21 — 03.08.21;03.08.2021;Юридические;jurist@internauka.org
;;;;;
XLIX международная научно-практическая конференция  «Общественные науки в современном мире: политология, социология, философия, история»;Россия;03.08.21 — 03.08.21;03.08.2021;Исторические и археология;https
;;;;;
2021 – 12th International Conference on Research in Life-Sciences & Healthcare (ICRLSH), 06-07 August, Amsterdam;Нидерланды;06.08.21 — 07.08.21;04.08.2021;Медицинские;convener@eurasiaresearch.info
;;;;;
"III международная научно-практическая конференция ""НАУКА И ТЕХНИКА 2021.  АКТУАЛЬНЫЕ ИССЛЕДОВАНИЯ""";Россия;04.08.21 — 04.08.21;04.08.2021;Филологические;orgkonf@yandex.ru
;;;;;
XLIX Международная научно-практическая конференция «Актуальные вопросы экономических наук и современного менеджмента»;Россия;04.08.21 — 04.08.21;04.08.2021;Экономические;managkonf@sibac.info
;;;;;
2021 International Conference on Green Building (ICoGB 2021);Норвегия;03.09.21 — 05.09.21;05.08.2021;Технические;icogb@iaeeee.org
;;;;;
4th Asia Conference on Energy and Electrical Engineering (ACEEE 2021);Тайланд;10.09.21 — 12.09.21;05.08.2021;Технические;aceee@iact.net
;;;;;
4th International Conference on Power and Smart Grid (ICPSG 2021);Тайланд;10.09.21 — 12.09.21;05.08.2021;Технические;icpsg@iact.net
;;;;;
12th International Conference on Construction and Project Management (ICCPM 2021);Macau;27.09.21 — 29.09.21;05.08.2021;Технические;iccpm@iedrc.org
;;;;;
7th International Conference on Industrial and Business Engineering (ICIBE 2021);Macau;27.09.21 — 29.09.21;05.08.2021;Технические;icibe@iedrc.net
;;;;;
5th International Conference on Digital Technology in Education (ICDTE 2021);Корея;15.07.21 — 17.07.21;05.08.2021;Технические;icdte@academic.net
;;;;;
11th International Conference on Education, Research and Innovation (ICERI 2021);Корея;15.09.21 — 17.09.21;05.08.2021;Культурология;iceri@academic.net
;;;;;
2021 Asia Workshop on Software Engineering(AWSE 2021);Китай;24.09.21 — 26.09.21;05.08.2021;Компьютерные;awse_org@163.com
;;;;;
5th International Conference on Telecommunications and Communication Engineering (ICTCE 2021);Китай;10.12.21 — 12.12.21;05.08.2021;Компьютерные;ictce@academic.net
;;;;;
5th International Conference on Advances in Image Processing (ICAIP 2021);Китай;12.11.21 — 14.11.21;05.08.2021;Компьютерные;icaip@iact.net
;;;;;
4th International Conference on Network Technology (ICNT 2021);Египет;12.11.21 — 14.11.21;05.08.2021;Компьютерные;icnt_conf@126.com
;;;;;
10th International Conference on Software and Information Engineering (ICSIE 2021);Египет;12.11.21 — 14.11.21;05.08.2021;Компьютерные;icsieconf@163.com
;;;;;
3rd International Communication Engineering and Cloud Computing Conference (CECCC 2021);Китай;15.10.21 — 17.10.21;05.08.2021;Компьютерные;ceccc@iact.net
;;;;;
4th International Conference on Sensors, Signal and Image Processing (SSIP 2021);Китай;15.10.21 — 17.10.21;05.08.2021;Компьютерные;ssip@iact.net
;;;;;
2021 4th Artificial Intelligence and Cloud Computing Conference (AICCC 2021) ;Япония;17.12.21 — 19.12.21;05.08.2021;Компьютерные;aiccc.contact@gmail.com
;;;;;
4th International Conference on Big Data and Machine Learning (BDML 2021);Китай;12.11.21 — 14.11.21;05.08.2021;Технические;bdml@iact.net
;;;;;
5th International Conference on Education and E-Learning (ICEEL 2021);Япония;05.11.21 — 07.11.21;05.08.2021;Технические;iceel@academic.net
;;;;;
11th International Conference on Languages, Literature and Linguistics (ICLLL 2021);Япония;05.11.21 — 07.11.21;05.08.2021;Культурология;iclll@academic.net
;;;;;
3rd International Conference on Advanced Bioinformatics and Biomedical Engineering (ICABB 2021);Индонезия;26.12.21 — 28.12.21;05.08.2021;Биологические;icabb@cbees.net
;;;;;
5th International Conference on Computational Biology and Bioinformatics (ICCBB 2021);Индонезия;26.12.21 — 28.12.21;05.08.2021;Биологические;iccbb@cbees.net
;;;;;
3rd Asia Conference on Material and Manufacturing Technology (ACMMT 2021);Япония;20.12.21 — 22.12.21;05.08.2021;Технические;acmmt@cbees.net
;;;;;
5th International Conference on Nanomaterials and Biomaterials (ICNB 2021);Япония;20.12.21 — 22.12.21;05.08.2021;Технические;icnb@cbees.net
;;;;;
9th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2021);Вьетнам;16.12.21 — 18.12.21;05.08.2021;Технические;cmame2017@163.com
;;;;;
4th International Conference on Progress in Mechanical and Aerospace Engineering (PMAE 2021);Вьетнам;16.12.21 — 18.12.21;05.08.2021;Технические;pmae@saise.org
;;;;;
Global Conference on Catalysis & Applied Chemical Engineering (Webinar);США;12.08.21 — 14.08.21;05.08.2021;Химические;catalysis-webinar@hazelgroup.org
;;;;;
2021 International Conference on Smart City and Green Energy (ICSCGE 2021);Вьетнам;20.11.21 — 22.11.21;05.08.2021;Науки о Земле;icscge@academic.net
;;;;;
2021 Workshop on Big Data Engineering (WBDE 2021);Вьетнам;20.11.21 — 22.11.21;05.08.2021;Компьютерные;wbde@academic.net
;;;;;
5th International Conference on Advanced Energy Materials (ICAEM 2022);Китай;21.01.22 — 24.01.22;05.08.2021;Технические;icaem@sciei.org
;;;;;
12th International Conference on Advanced Materials Research(ICAMR 2022);Китай;21.01.22 — 24.01.22;05.08.2021;Технические;icamr@sciei.org
;;;;;
6th International Conference on Civil and Building Materials (ICCBM 2022);Китай;21.01.22 — 24.01.22;05.08.2021;Технические;iccbm@sciei.org
;;;;;
12th International Conference on Bioscience, Biochemistry and Bioinformatics (ICBBB 2022);Япония;07.01.22 — 10.01.22;05.08.2021;Биологические;icbbb@cbees.org
;;;;;
8th International Conference on Environment and Bio-Engineering (ICEBE 2022);Япония;07.01.22 — 10.01.22;05.08.2021;Технические;icebe@cbees.net
;;;;;
IX Международная конференция Семипалатинский испытательный полигон: наследие и перспективы развития научно-технического потенциала ;Казахстан;07.09.21 — 09.09.21;05.08.2021;Технические;conf2021@nnc.kz
;;;;;
V Всеукраїнська науково-практична інтернет-конференція «Підготовка майбутніх педагогів у контексті стандартизації початкової освіти»;Украина;16.09.21 — 16.09.21;05.08.2021;Педагогические;conf.bdpu.2020@gmail.com
;;;;;
L международная научно-практическая конференция «Вопросы управления и экономики: современное состояние актуальных проблем»;Россия;06.08.21 — 06.08.21;06.08.2021;Экономические;economics@internauka.org
;;;;;
ICTEL 2021 – International Conference on Teaching, Education & Learning, 09-10 August, London;Великобритания;09.08.21 — 10.08.21;07.08.2021;Педагогические;convener@eurasiaresearch.info
;;;;;
The Sixth International Conference on Languages, Linguistics, Translation and Literature (virtually);Iran;09.10.21 — 10.10.21;08.08.2021;Филологические;info@pahi.ir
;;;;;
London – International Conference on Social Science & Humanities (ICSSH), 10-11 August 2021;Великобритания;10.04.21 — 11.08.21;08.08.2021;Социологические;convener@eurasiaresearch.info
;;;;;
FREEDOM AND  AUTHENTICITY 3rd International Interdisciplinary Conference (Online);Польша;30.08.21 — 31.08.21;08.08.2021;Культурология;conferencefreedom@gmail.com
;;;;;
16th International Conference on Ophthalmology and Vision Science;Великобритания;23.08.21 — 24.08.21;09.08.2021;Медицинские;meetingophthalmology@gmail.com
;;;;;
XLIX Международная научно-практическая конференция «Культурология, филология, искусствоведение: актуальные проблемы современной науки»;Россия;09.08.21 — 09.08.21;09.08.2021;Филологические;philologykonf@sibac.info
;;;;;
5th International Conference on Reliability Engineering (ICRE 2021);Италия;24.11.21 — 26.11.21;10.08.2021;Компьютерные;icre_conf@outlook.com
;;;;;
5th International Conference on System Reliability and Safety (ICSRS 2021);Италия;24.11.21 — 26.11.21;10.08.2021;Компьютерные;icsrs@outlook.com
;;;;;
2021 Asia Conference on Electronics Engineering (ACEE 2021);Китай;24.09.21 — 26.09.21;10.08.2021;Технические;acee_conference@126.com
;;;;;
4th IEEE International Conference on Information Communication and Signal Processing (ICICSP 2021);Китай;24.09.21 — 26.09.21;10.08.2021;Компьютерные;icspconference@163.com
;;;;;
2021 International Joint Conference on Energy, Electrical and Power Engineering (CoEEPE 2021);Германия;10.09.21 — 12.09.21;10.08.2021;Технические;coeepe@iaeeee.org
;;;;;
7th International Conference on Computer and Communications (ICCC 2021);Китай;10.12.21 — 13.12.21;10.08.2021;Компьютерные;iccc2015@vip.163.com
;;;;;
4th International Conference on Mechatronics, Robotics and Automations(ICMRA 2021);Китай;22.10.21 — 24.10.21;10.08.2021;Компьютерные;icmra_conf@163.com
;;;;;
2021 International Conference on Power, Control and Electrical Engineering (PCEE 2021);Китай;22.10.21 — 24.10.21;10.08.2021;Технические;pcee_conf@163.com
;;;;;
5th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2021);Китай;17.12.21 — 20.12.21;10.08.2021;Компьютерные;nlpir@asr.org
;;;;;
12th International Conference on Software Technology and Engineering (ICSTE 2021);Япония;23.10.21 — 25.10.21;10.08.2021;Компьютерные;icste@iap.org
;;;;;
10th International Conference on Bioinformatics and Biomedical Science (ICBBS 2021);Китай;29.10.21 — 31.10.21;10.08.2021;Биологические;icbbs@cbees.org
;;;;;
6th International Conference on Biomedical Imaging, Signal Processing (ICBSP 2021);Китай;29.10.21 — 31.10.21;10.08.2021;Компьютерные;icbsp@cbees.net
;;;;;
3rd International Conference on Functional Materials and Applied Technologies (FMAT 2021);Китай;06.11.21 — 08.11.21;10.08.2021;Технические;fmat@cbees.net
;;;;;
5th International Conference on Materials and Intelligent Manufacturing (MIM 2021);Китай;06.11.21 — 08.11.21;10.08.2021;Технические;icmim@cbees.net
;;;;;
4th International Conference on Blockchain Technology and Applications (ICBTA 2021);Китай;17.12.21 — 19.12.21;10.08.2021;Технические;icbta@iact.net
;;;;;
4th International Conference on Electronics and Communication Engineering (ICECE 2021);Китай;17.12.21 — 19.12.21;10.08.2021;Технические;icece@iact.net
;;;;;
International Conference on Music and Sounds;Великобритания;02.10.21 — 03.10.21;10.08.2021;Филологические;sounds@lcir.co.uk
;;;;;
6th International Conference on Functional Materials and Metallurgy (ICFMM 2021);Китай;26.11.21 — 28.11.21;10.08.2021;Технические;icfmm@young.ac.cn
;;;;;
8th International Conference on Mechatronics and Mechanical Engineering (ICMME 2021);Китай;26.11.21 — 28.11.21;10.08.2021;Технические;icmme@young.ac.cn
;;;;;
9th International Conference on Control, Mechatronics and Automation (ICCMA 2021);Люксембург;11.11.21 — 14.11.21;10.08.2021;Компьютерные;iccma@chairmen.org
;;;;;
2nd International Conference on Big Data in Management (ICBDM 2021);Китай;12.11.21 — 14.11.21;10.08.2021;Компьютерные;icbdm@academic.net
;;;;;
10th International Conference on Knowledge Discovery (ICKD 2021);Macau;27.11.21 — 29.11.21;10.08.2021;Технические;ickd@iacsitp.com
;;;;;
12th International Conference on Networking and Information Technology (ICNIT 2021);Macau;27.11.21 — 29.11.21;10.08.2021;Компьютерные;icnit@iacsitp.com
;;;;;
6th International Conference on Materials Technology and Applications (ICMTA 2021);Япония;30.10.21 — 02.11.21;10.08.2021;Технические;icmta@sciei.us
;;;;;
2021 International Conference on Intelligent Technology and Embedded Systems (ICITES 2021);Китай;31.10.21 — 02.11.21;10.08.2021;Технические;icites@163.com
;;;;;
ICSTR London – International Conference on Science & Technology Research, 12-13 August 2021;Великобритания;12.08.21 — 13.08.21;10.08.2021;Технические;convener@eurasiaresearch.info
;;;;;
2nd Asia Conference on Information Engineering (ACIE 2022);Китай;15.01.22 — 17.01.22;10.08.2021;Компьютерные;acie_conf@yeah.net
;;;;;
6th International Conference on Machine Learning and Soft Computing (ICMLSC 2022);Китай;15.01.22 — 17.01.22;10.08.2021;Компьютерные;icmlsc@163.com
;;;;;
2021 3rd International Conference on Emerging Networks Technologies (ICENT 2021);Япония;22.09.21 — 24.09.21;10.08.2021;Компьютерные;icent.conference@gmail.com
;;;;;
LI международная научно-практическая конференция «Культурология, искусствоведение и филология: современные взгляды и научные исследования»;Россия;10.08.21 — 10.08.21;10.08.2021;Филологические;philology@internauka.org
;;;;;
Международная конференция «Люди и животные: парадоксы взаимоотношений»;Россия;29.11.21 — 30.11.21;10.08.2021;Философские;russianorgcom@gmail.com
;;;;;
XIV Всероссийская конференция «Проблемы разработки месторождений углеводородных и рудных полезных ископаемых»;Россия;09.11.21 — 12.11.21;10.08.2021;Геолого-минералогические;petmet@ortum-publish.ru
;;;;;
VI Международная научно-практическая конференция «Речевая коммуникация в современной России»;Россия;27.09.21 — 30.09.21;10.08.2021;Филологические;terskihm@mail.ru
;;;;;
VI Санкт-Петербургский форум по ВИЧ-инфекции с международным участием;Россия;30.09.21 — 01.10.21;10.08.2021;Медицинские;program@congress-ph.ru
;;;;;
Монография «Инновации в науке, обществе, образовании»;Россия;15.08.21 — 15.08.21;10.08.2021;Технические;mon@naukaip.ru
;;;;;
2nd ICSTR Amsterdam – International Conference on Science & Technology Research, 05-06 August 2021;Нидерланды;05.08.21 — 06.08.21;11.08.2021;Технические;convener@eurasiaresearch.info
;;;;;
"Международная научно-практическая конференция ""ПСИХОЛОГИЯ И ПЕДАГОГИКА 2021""";Россия;11.08.21 — 11.08.21;11.08.2021;Филологические;orgkonf@yandex.ru
;;;;;
International Conference on Pediatrics and Neonatology;Арабские Эмираты;22.11.21 — 23.11.21;12.08.2021;Медицинские;pediatrics@scientexconferences.com
;;;;;
LI Международная научно-практическая конференция «Научный форум: филология, искусствоведение и культурология»;Россия;12.08.21 — 12.08.21;12.08.2021;Филологические;philology@nauchforum.ru
;;;;;
LI международная заочная научно-практическая конференция «Химия, физика, биология, математика: теоретические и прикладные исследования»;Россия;13.08.21 — 13.08.21;13.08.2021;Экология;mathematics@internauka.org
;;;;;
4th international conference on  Agriculture, Food and Aqua;Великобритания;30.08.21 — 30.08.21;14.08.2021;Сельскохозяйственные;agrifoodaqua@memeetings.com
;;;;;
International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2021);Китай;04.12.21 — 06.12.21;15.08.2021;Компьютерные;aibt@young.ac.cn
;;;;;
3rd International Conference on Hardware Security and Trust (ICHST 2021);Китай;22.10.21 — 24.10.21;15.08.2021;Компьютерные;ichst_conf@163.com
;;;;;
2nd International Conference on Information Security and Privacy Protection (ICISPP 2021);Китай;22.10.21 — 24.10.21;15.08.2021;Компьютерные;icispp_conference@126.com
;;;;;
6th International Conference on Signal and Image Processing (ICSIP 2021);Китай;22.10.21 — 24.10.21;15.08.2021;Компьютерные;icsip2016@vip.163.com
;;;;;
11th International Conference on Environment Science and Engineering (ICESE 2021);Австрия;10.09.21 — 13.09.21;15.08.2021;Науки о Земле;icese@cbees.org
;;;;;
6th Edition of Global Conference on Plant Science and Molecular Biology;США;30.09.21 — 02.10.21;15.08.2021;Сельскохозяйственные;plantscience@magnusgroupllc.com
;;;;;
5th International Conference on Power and Energy Engineering (ICPEE 2021);Китай;02.12.21 — 04.12.21;15.08.2021;Технические;peeng@cbees.net
;;;;;
3rd International Conference on Resources and Environmental Research (ICRER 2021);Китай;02.12.21 — 04.12.21;15.08.2021;Науки о Земле;icrer@cbees.net
;;;;;
4th International Conference on Electronics and Electrical Engineering Technology (EEET 2021);Китай;03.12.21 — 05.12.21;15.08.2021;Технические;eeet@cbees.net
;;;;;
8th International Conference on Mechanical, Materials and Manufacturing (ICMMM 2021);США;25.09.21 — 27.09.21;15.08.2021;Технические;icmmm@zhconf.ac.cn
;;;;;
3rd International Conference on Trends in Mechanical and Aerospace (TMAE 2021);США;25.09.21 — 27.09.21;15.08.2021;Технические;tmae_contact@yeah.net
;;;;;
14th International Conference on Computer Science and Information Technology (ICCSIT 2021);Франция;15.10.21 — 17.10.21;15.08.2021;Компьютерные;iccsit@iacsit.net
;;;;;
4th International Conference on E-business and Business Engineering (ICEBB 2021);Сингапур;15.10.21 — 17.10.21;15.08.2021;Экономические;icebb@chairmen.org
;;;;;
5th International Conference on E-Business and Internet (ICEBI 2021);Сингапур;15.10.21 — 17.10.21;15.08.2021;Экономические;icebi@chairmen.org
;;;;;
8th International Conference on Chemical and Material Engineering (ICCME 2021);Япония;14.10.21 — 17.10.21;15.08.2021;Технические;iccme@saise.org
;;;;;
10th International Conference on Material Science and Engineering Technology (ICMSET 2021);Япония;14.10.21 — 17.10.21;15.08.2021;Технические;icmset@saise.org
;;;;;
3rd International Workshop on Artificial Intelligence and Education (WAIE 2021);Китай;19.11.21 — 21.11.21;15.08.2021;Компьютерные;waie_conf@126.com
;;;;;
4th International Conference on Hot Information-Centric Networking (HotICN 2021);Китай;25.11.21 — 27.11.21;15.08.2021;Компьютерные;Hoticn@academic.net
;;;;;
5th International Conference on Advanced Manufacturing and Materials (ICAMM 2021);Macau;19.11.21 — 21.11.21;15.08.2021;Технические;icamm@cbees.net
;;;;;
8th International Conference on Artificial Intelligence (ICOAI 2021);Франция;15.10.21 — 17.10.21;15.08.2021;Компьютерные;icoai@iacsit.net
;;;;;
7th International Conference on Signal Processing (ICOSP 2021);Франция;15.10.21 — 17.10.21;15.08.2021;Компьютерные;icosp@iacsit.net
;;;;;
2021 Workshop on Internet of Things Technologies (WIOTT 2021);Франция;15.10.21 — 17.10.21;15.08.2021;Компьютерные;wiott@iacsit.org
;;;;;
10th International Conference on Nanostructures, Nanomaterials and Nanoengineering(ICNNN 2021);Япония;30.10.21 — 02.11.21;15.08.2021;Нанотехнологии;icnnn@sciei.org
;;;;;
2021 Asia Conference on Knowledge and Innovation Management (ACKIM 2021);Тайланд;01.12.21 — 03.12.21;15.08.2021;Культурология;ackim@iacsitp.com
;;;;;
4th Asia Conference on Machine Learning and Computing (ACMLC 2021);Тайланд;01.12.21 — 03.12.21;15.08.2021;Компьютерные;acmlc@iacsitp.com
;;;;;
8th International Conference on History and Culture (ICHC 2021);Китай;17.12.21 — 19.12.21;15.08.2021;Культурология;ichc@iedrc.net
;;;;;
3rd International Conference on E-Business and E-commerce Engineering (EBEE 2021);Китай;17.12.21 — 19.12.21;15.08.2021;Экология;ebee@academic.net
;;;;;
10th International Conference on Sociality and Humanities (ICOSH 2021);Китай;17.12.21 — 19.12.21;15.08.2021;Культурология;icosh@iedrc.org
;;;;;
10th International Conference on Transportation and Traffic Engineering (ICTTE 2021);Китай;24.12.21 — 26.12.21;15.08.2021;Технические;ictte2016@vip.163.com
;;;;;
4th International Conference on Mechanical Engineering and Power Engineering (MEPE 2021);Китай;24.12.21 — 26.12.21;15.08.2021;Технические;mepe_conf@yeah.net
;;;;;
5th International Conference on Computer Science and Artificial Intelligence (CSAI 2021);Китай;04.12.21 — 06.12.21;15.08.2021;Компьютерные;csai@young.ac.cn
;;;;;
13th International Conference on Information and Multimedia Technology (ICIMT 2021);Китай;04.12.21 — 06.12.21;15.08.2021;Компьютерные;icimt@young.ac.cn
;;;;;
10th Edition of International Conference on World Pharmaceutical Sciences & Drug Delivery;Великобритания;26.08.21 — 27.08.21;15.08.2021;Фармацевтические;annezivor@gmail.com
;;;;;
14th International Conference on Machine Vision (ICMV 2021);Италия;08.11.21 — 12.11.21;15.08.2021;Технические;secretary@icmv.org
;;;;;
4th International Conference on Sustainable Development and Green Technology (SDGT 2021);Тайланд;06.11.21 — 08.11.21;15.08.2021;Науки о Земле;sdgt@ieet.ac.cn
;;;;;
12th International Conference on Economics, Business and Management (ICEBM 2021);Япония;03.12.21 — 05.12.21;15.08.2021;Экономические;icebm@academic.net
;;;;;
5th International Conference on Software and e-Business (ICSEB 2021);Япония;03.12.21 — 05.12.21;15.08.2021;Компьютерные;icseb@academic.net
;;;;;
2nd International Conference on Robotics and Intelligent Control (ICRIC 2021);Гонконг;25.11.21 — 27.11.21;15.08.2021;Компьютерные;icric_conf@robotics.ac.cn
;;;;;
2nd International Conference on Mechanical, Electronic and Robotics Engineering (MERE 2021);Гонконг;25.11.21 — 27.11.21;15.08.2021;Технические;mere_contact@robotics.ac.cn
;;;;;
3rd International Conference on Advances in Education and Information Technology (AEIT 2022);Япония;05.01.22 — 07.01.22;15.08.2021;Технические;aeit@iacsitp.com
;;;;;
8th International Conference on Humanity and Social Sciences (ICHSS 2022);Япония;05.01.21 — 07.01.21;15.08.2021;Социологические;ichss@iacsitp.com
;;;;;
2022 International Conference on Advanced Robotics and Automation Engineering (ARAE 2022);Китай;06.01.22 — 08.01.22;15.08.2021;Компьютерные;arae_conf@robotics.ac.cn
;;;;;
2nd International Conference on Computer, Control and Robotics (ICCCR 2022);Китай;06.01.22 — 08.01.22;15.08.2021;Компьютерные;icccr_conf@robotics.ac.cn
;;;;;
2021 Workshop on Big Data Sciences (WBDS 2021);Франция;15.10.21 — 17.10.21;15.08.2021;Компьютерные;wbds@iacsit.org
;;;;;
Международная научно-практическая конференция «Большая юридическая конференция»;Россия;15.08.21 — 15.08.21;15.08.2021;Юридические;konf@naukaip.ru
;;;;;
Международная научно-практическая конференция «Большая педагогическая конференция»;Россия;15.08.21 — 15.08.21;15.08.2021;Педагогические;https
;;;;;
Международная научно-практическая конференция «Большая экономическая конференция»;Россия;15.08.21 — 15.08.21;15.08.2021;Экономические;konf@naukaip.ru
;;;;;
Межрегиональная научно-практическая конференция к 110-летию Национального музея Республики Коми;Россия;23.09.21 — 25.09.21;15.08.2021;Исторические и археология;nmrk@list.ru или s.bandura@mail.ru
;;;;;
Всероссийская научная конференция «Проблемы агрохимии и экологии – от плодородия к качеству почвы»;Россия;07.09.21 — 08.09.21;15.08.2021;Экология;https
;;;;;
IX Всероссийская конференция «Экология. Экономика. Информатика. Системный анализ и моделирование экономических и экологических систем (САМЭС)»;Россия;06.09.21 — 11.09.21;15.08.2021;Экология;ecoinf_durso@mail.ru
;;;;;
V Международная научная конференция «Информатизация образования и методика электронного обучения: Цифровые технологии в образовании»;Россия;21.09.21 — 24.09.21;15.08.2021;Технические;dte@sfu-kras.ru
;;;;;
II научно-практическая конференция аспирантов и молодых ученых АО «НИЦ «Строительство». ;Россия;22.09.21 — 22.09.21;15.08.2021;Технические;Scientific_Secretary@cstroy.ru
;;;;;
" VIII Международная научно-техническая конференция ""Альтернативные источники сырья и топлива""";Беларусь;12.10.21 — 14.10.21;15.08.2021;Технические;mixa@ichnm.by
;;;;;
XXII международная научно-практическая конференция «Научно-теоретические подходы и их применение в практике инструментальной детекции лжи в борьбе с преступностью и работе с кадрами» ;Россия;11.10.21 — 17.10.21;15.08.2021;Психологические;info@expert-lie.ru
;;;;;
"XII международная конференция Школы философии и культурологии НИУ ВШЭ ""Философия и культура в период пандемии""";Россия;30.09.21 — 03.10.21;15.08.2021;Философские;mstorchevoy@hse.ru
;;;;;
ХV-ой ежегодная Международная научно-практическая конференция «Передовые технологии в горном деле»;Киргизстан;07.09.21 — 10.09.21;15.08.2021;Геолого-минералогические;office@blastmaker.kg
;;;;;
Международная конференция «Историк и власть, историк во власти: к 800-летию Альфонсо X Мудрого»;Россия;20.09.21 — 23.09.21;15.08.2021;Исторические и археология;alfonso.el.sabio.conferencia@gmail.com
;;;;;
ХII Всероссийская конференция Ассоциации естественно-исторических музеев РФ Российского комитета Международного совета музеев;Россия;10.11.21 — 12.11.21;15.08.2021;Исторические и археология;natus@darwin.museum.ru
;;;;;
Дев’яті Міжнародні Шевченківські читання «Створення нової наукової біографії Тараса Шевченка: концептуальні підходи та дослідницькі стратегії»;Украина;23.09.21 — 23.09.21;15.08.2021;Филологические;svitlana_brizhit@ukr.net
;;;;;
Международная научно-практическая конференция «Библиотечная наука в XXI веке: содержание, организация, цифровизация и наукометрия»;Россия;19.10.21 — 20.10.21;15.08.2021;Филологические;science@rsl.ru
;;;;;
"Всероссийская конференция ""Математические основы информатики""";Россия;03.12.21 — 08.12.21;15.08.2021;Физико-математические;mfcsics21@tversu.ru
;;;;;
XVII Всероссийский семинар с международным участием Динамика Многофазных Сред (ДМС-2021);Россия;27.08.21 — 04.09.21;15.08.2021;Физико-математические;akademnsk1001@gmail.com
;;;;;
Науково-практична конференція з міжнародною участю «Урологія, андрологія, нефрологія - досягнення, проблеми, шляхи вирішення»;Украина;03.09.21 — 04.09.21;15.08.2021;Медицинские;urology.edu.ua@gmail.com
;;;;;
Межрегиональная научно-практическая конференция, посвященная памяти д.м.н., профессора Капсаргина Федор Петровича «Енисейский урологический форум» ;Россия;19.11.21 — 20.11.21;15.08.2021;Медицинские;krasgmu.urology@mail.ru
;;;;;
10-я Всероссийская конференция «Противоречия современной кардиологии:спорные и нерешенные вопросы»;Россия;12.11.21 — 13.11.21;15.08.2021;Медицинские;samaracardio@micepartner.ru
;;;;;
6th IEEE International Conference on Big Data Intelligence and Computing (IEEE DataCom 2021);Китай;23.10.21 — 25.10.21;15.08.2021;Компьютерные;datacom2021@hzu.edu.cn
;;;;;
4th International Food and Nutrition Conference;Сингапур;23.09.21 — 24.09.21;16.08.2021;Сельскохозяйственные;foodandnutrition@bioleagus.com
;;;;;
4th International Conference on Food and Nutrition;Сингапур;23.09.21 — 24.09.21;16.08.2021;Сельскохозяйственные;bioleaguesevents@gmail.com
;;;;;
III Международная научная конференция ведущих научных школ в области радиолокации, радионавигации и радиоэлектронных систем передачи информации «Шарыгинские чтения»;Россия;29.09.21 — 01.10.21;16.08.2021;Технические;eak@main.tusur.ru
;;;;;
LII Международная научно-практическая конференция «Научный форум: экономика и менеджмент»;Россия;16.08.21 — 16.08.21;16.08.2021;Экономические;economy@nauchforum.ru
;;;;;
XLIX Международная научно-практическая конференция «Современная психология и педагогика: проблемы и решения»;Россия;16.08.21 — 16.08.21;16.08.2021;Педагогические;pedkonf@sibac.info
;;;;;
XI Международная научная конференция «Традиции и современное состояние культуры и искусств»;Беларусь;09.09.21 — 10.09.21;16.08.2021;Филологические;konferens@tut.by
;;;;;
Девятая международная научно-техническая конференция «Актуальные проблемы создания космических систем дистанционного зондирования Земли»;Россия;29.09.21 — 29.09.21;16.08.2021;Физико-математические;vniiem@vniiem.ru
;;;;;
3rd Indo oncology summit;Индия;25.09.21 — 26.09.21;17.08.2021;Науки о Земле;bioleaguesevents@gmqil.com
;;;;;
LI международная научно-практическая конференция «Технические науки: проблемы и решения» ;Россия;17.08.21 — 17.08.21;17.08.2021;Нанотехнологии;technical@internauka.org
;;;;;
IX Українська наукова конференція з фізики напівпровідників (УНКФН-9) присвячена 60-річчю Інституту фізики напівпровідників імені В.Є. Лашкарьова НАН України.;Украина;28.09.21 — 03.10.21;17.08.2021;Физико-математические;solidstateconference@karazin.ua
;;;;;
"Международная научно-практическая конференция ""МИРОВАЯ НАУКА 2021.  МЕЖДУНАРОДНЫЕ КОММУНИКАЦИИ""";Россия;18.08.21 — 18.08.21;18.08.2021;Филологические;orgkonf@yandex.ru
;;;;;
XLIX Международная научно-практическая конференция «Актуальные проблемы юриспруденции»;Россия;18.08.21 — 18.08.21;18.08.2021;Юридические;lawkonf@sibac.info
;;;;;
2021 International Conference on Electric Vehicle and Vehicle Engineering (CEVVE 2021);Германия;17.09.21 — 19.09.21;19.08.2021;Технические;cevve@iaeeee.org
;;;;;
